Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0 days 00:34:18.619000,33,,1,0 days 00:00:03.895000,,,0 days 00:00:31.042000,0 days 00:00:21.337000,,0 days 00:33:57.327000,0 days 00:34:18.809000,288.0,230.0,267.0,287.0,False,MEDIUM,6.0,False,1,0 days 00:33:05.677000,Red Bull Racing,VER,2,False,2021-06-27 13:03:05.722
0 days 00:35:28.650000,33,0 days 00:01:10.031000,2,,,0 days 00:00:17.733000,0 days 00:00:31.027000,0 days 00:00:21.271000,0 days 00:34:36.352000,0 days 00:35:07.379000,0 days 00:35:28.650000,289.0,231.0,267.0,287.0,False,MEDIUM,7.0,False,1,0 days 00:34:18.619000,Red Bull Racing,VER,1,True,2021-06-27 13:04:18.664
0 days 00:36:38.484000,33,0 days 00:01:09.834000,3,,,0 days 00:00:17.716000,0 days 00:00:30.903000,0 days 00:00:21.215000,0 days 00:35:46.366000,0 days 00:36:17.269000,0 days 00:36:38.484000,291.0,230.0,270.0,291.0,False,MEDIUM,8.0,False,1,0 days 00:35:28.650000,Red Bull Racing,VER,1,True,2021-06-27 13:05:28.695
0 days 00:37:48.090000,33,0 days 00:01:09.606000,4,,,0 days 00:00:17.590000,0 days 00:00:30.840000,0 days 00:00:21.176000,0 days 00:36:56.074000,0 days 00:37:26.914000,0 days 00:37:48.090000,292.0,231.0,271.0,292.0,False,MEDIUM,9.0,False,1,0 days 00:36:38.484000,Red Bull Racing,VER,1,True,2021-06-27 13:06:38.529
0 days 00:38:57.756000,33,0 days 00:01:09.666000,5,,,0 days 00:00:17.569000,0 days 00:00:30.815000,0 days 00:00:21.282000,0 days 00:38:05.659000,0 days 00:38:36.474000,0 days 00:38:57.756000,293.0,230.0,271.0,292.0,False,MEDIUM,10.0,False,1,0 days 00:37:48.090000,Red Bull Racing,VER,1,True,2021-06-27 13:07:48.135
0 days 00:40:07.611000,33,0 days 00:01:09.855000,6,,,0 days 00:00:17.660000,0 days 00:00:30.998000,0 days 00:00:21.197000,0 days 00:39:15.416000,0 days 00:39:46.414000,0 days 00:40:07.611000,295.0,229.0,270.0,290.0,False,MEDIUM,11.0,False,1,0 days 00:38:57.756000,Red Bull Racing,VER,1,True,2021-06-27 13:08:57.801
0 days 00:41:17.483000,33,0 days 00:01:09.872000,7,,,0 days 00:00:17.657000,0 days 00:00:30.998000,0 days 00:00:21.217000,0 days 00:40:25.268000,0 days 00:40:56.266000,0 days 00:41:17.483000,297.0,231.0,268.0,289.0,False,MEDIUM,12.0,False,1,0 days 00:40:07.611000,Red Bull Racing,VER,1,True,2021-06-27 13:10:07.656
0 days 00:42:27.368000,33,0 days 00:01:09.885000,8,,,0 days 00:00:17.682000,0 days 00:00:31.006000,0 days 00:00:21.197000,0 days 00:41:35.165000,0 days 00:42:06.171000,0 days 00:42:27.368000,294.0,232.0,269.0,291.0,False,MEDIUM,13.0,False,1,0 days 00:41:17.483000,Red Bull Racing,VER,1,True,2021-06-27 13:11:17.528
0 days 00:43:37.115000,33,0 days 00:01:09.747000,9,,,0 days 00:00:17.650000,0 days 00:00:30.925000,0 days 00:00:21.172000,0 days 00:42:45.018000,0 days 00:43:15.943000,0 days 00:43:37.115000,295.0,231.0,269.0,291.0,False,MEDIUM,14.0,False,1,0 days 00:42:27.368000,Red Bull Racing,VER,1,True,2021-06-27 13:12:27.413
0 days 00:44:47.002000,33,0 days 00:01:09.887000,10,,,0 days 00:00:17.660000,0 days 00:00:30.984000,0 days 00:00:21.243000,0 days 00:43:54.775000,0 days 00:44:25.759000,0 days 00:44:47.002000,293.0,232.0,269.0,290.0,False,MEDIUM,15.0,False,1,0 days 00:43:37.115000,Red Bull Racing,VER,1,True,2021-06-27 13:13:37.160
