Time,Distance_LEC,Distance_SAI,DistanceGap_SAI
0.0,0.0,0.0,0.0
0.25040650406504067,0.0,0.0,0.0
0.5008130081300813,0.0,0.0,0.0
0.751219512195122,0.0,0.0,0.0
1.0016260162601627,0.0,0.0,0.0
1.2520325203252034,0.0,0.0,0.0
1.502439024390244,0.0015540061782092609,0.0,0.0015540061782092609
1.7528455284552846,0.2591766236199652,0.0,0.2591766236199652
2.0032520325203254,0.2591766236199652,0.0,0.2591766236199652
2.253658536585366,0.2591766236199652,0.0,0.2591766236199652
2.504065040650407,0.2591766236199652,0.0,0.2591766236199652
2.7544715447154475,0.2591766236199652,0.0,0.2591766236199652
3.004878048780488,0.2927589605219424,0.0,0.2927589605219424
3.2552845528455285,0.6307772535222356,0.0,0.6307772535222356
3.5056910569105693,1.192458300137658,0.0,1.192458300137658
3.75609756097561,1.9597598252483235,0.008924869271496036,1.9508349559768274
4.006504065040651,4.055473241850141,0.14775616905032318,3.9077170727998176
4.256910569105691,6.151186658451954,0.2865874688291501,5.864599189622805
4.507317073170732,8.246900075053777,0.4254187686079775,7.821481306445799
4.757723577235772,10.34261349165559,0.5642500683868044,9.778363423268784
5.008130081300814,12.518309938107608,0.7852081955023277,11.73310174260528
5.258536585365854,14.74923067190954,1.1729441827417662,13.576286489167774
5.508943089430895,16.980151405711478,1.8211240823584993,15.159027323352978
5.759349593495935,19.211072139513412,2.7585058064495667,16.452566333063846
6.009756097560976,21.401832349243744,4.0189835744528555,17.382848774790887
6.260162601626017,23.565149424445625,5.586436277808014,17.97871314663761
6.510569105691057,25.7526479771409,7.490561644391422,18.262086332749476
6.760975609756098,27.98356871094284,9.76703210623068,18.21653660471216
7.0113821138211385,30.21448944474477,12.393943419777871,17.8205460249669
7.26178861788618,32.44541017854671,15.170569415354418,17.27484076319229
7.51219512195122,34.67633091234864,17.852280778481514,16.824050133867125
7.762601626016261,36.92388258515099,20.455922073031694,16.467960512119298
8.013008130081301,39.222406977552986,22.95488546905058,16.267521508502405
8.263414634146342,41.52093136995498,25.408825604100606,16.112105765854373
8.513821138211382,43.81945576235697,27.838373350230075,15.981082412126892
8.764227642276424,46.178246182492146,30.26792109635956,15.910325086132584
9.014634146341464,48.54437423349419,32.69746884248903,15.846905391005158
9.265040650406505,50.91050228449624,35.1270165886185,15.783485695877737
9.515447154471545,53.27663033549829,37.51901677867143,15.757613556826861
9.765853658536587,55.69293434869507,39.8791488749115,15.813785473783568
10.016260162601627,58.126666058297175,42.23928097115156,15.887385087145617
10.266666666666667,60.56039776789928,44.59941306739162,15.960984700507659
10.517073170731708,62.99412947750138,46.92154685658183,16.072582620919555
10.767479674796748,65.47847613409431,49.21226330293247,16.266212831161837
11.01788617886179,67.94798510457893,51.502979749283135,16.445005355295798
11.26829268292683,70.38171681418105,53.79369619563377,16.588020618547276
11.51869918699187,72.85262395124124,56.04624079580984,16.806383155431405
11.769105691056911,75.33557244125858,58.26754159227107,17.068030848987505
12.019512195121951,77.76930415086069,60.4888423887323,17.28046176212839
12.269918699186993,80.2489097716557,62.710143185193544,17.53876658646216
12.520325203252034,82.76626150014374,64.91499833239364,17.851263167750105
12.770731707317074,85.33520052694597,67.06688347896545,18.268317047980517
13.021138211382114,87.96897102336085,69.21876862553728,18.75020239782357
13.271544715447156,90.71919760141027,71.37065377210911,19.348543829301164
13.521951219512196,93.49094760401266,73.52253891868092,19.968408685331738
13.772357723577237,96.30356050636043,75.63246591090237,20.671094595458058
14.022764227642277,99.18658657000331,77.71493540758478,21.47165116241854
14.273170731707317,102.1649096481085,79.79740490426718,22.367504743841323
14.52357723577236,105.24556666695756,81.87987440094959,23.36569226600797
14.7739837398374,108.90628063598695,83.962343897632,24.94393673835495
15.02439024390244,113.43547115100912,86.04481339431439,27.390657756694736
15.27479674796748,118.52436947598824,88.1272828909968,30.397086584991442
15.525203252032522,123.93266216399297,90.20975238767922,33.722909776313756
15.775609756097563,129.81624369073975,92.34644722645056,37.46979646428919
16.026016260162603,136.17318252312577,94.53326557345375,41.63991694967203
16.276422764227643,142.83547917968193,96.84841272255768,45.98706645712424
16.526829268292683,149.5083992683038,99.6046647741407,49.9037344941631
16.777235772357724,156.8882165740924,102.65088492685268,54.23733164723973
17.027642276422764,165.01999727621578,105.98606124475853,59.033936031457245
17.278048780487808,171.56293396671123,109.55627940394098,62.00665456277025
17.528455284552848,177.91767787511677,113.51297144763754,64.40470642747923
17.77886178861789,184.20793491697452,117.73452476324982,66.4734101537247
18.02926829268293,190.55157251003857,122.49098425888657,68.060588251152
18.27967479674797,196.69319807963137,127.51420268803665,69.17899539159473
18.53008130081301,202.5071127192364,132.78979207963206,69.71732063960434
18.78048780487805,207.9980245407919,138.57388942050017,69.42413512029174
19.03089430894309,213.19844036844938,144.64905920238184,68.54938116606755
19.28130081300813,218.1874784320107,151.00787755674668,67.17960087526401
19.531707317073174,222.959495581922,157.87840193853992,65.08109364338208
19.782113821138214,227.48894070812594,165.09762952703892,62.39131118108702
20.032520325203254,231.8331605894616,171.93647738418287,59.89668320527875
20.282926829268295,236.0371555573777,178.54386912404294,57.49328643333476
20.533333333333335,240.16097873198126,185.06894021364778,55.09203851833348
20.783739837398375,244.08672099196266,191.12297878990077,52.963742202061894
21.034146341463416,247.87252587356596,197.16214033027973,50.710385543286236
21.284552845528456,251.58081920972108,202.98015217437953,48.60066703534156
21.534959349593496,255.14828622328596,208.28812126214254,46.860164961143425
21.78536585365854,258.62774337000394,213.28167126222954,45.346072107774404
