Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,PitLap
0 days 02:06:35.799000,11,,1,0 days 02:04:16.197000,0 days 02:04:15.170000,,0 days 00:01:02.877000,0 days 00:00:34.691000,,0 days 02:06:01.175000,0 days 02:06:35.807000,105.0,123.0,159.0,136.0,False,INTERMEDIATE,1.0,True,2,0 days 02:04:00.206000,Red Bull Racing,PER,2,False,2022-05-29 14:05:00.227,1.0
0 days 02:08:58.942000,11,0 days 00:02:23.143000,2,,,0 days 00:00:35.097000,0 days 00:01:04.135000,0 days 00:00:43.911000,0 days 02:07:10.896000,0 days 02:08:15.031000,0 days 02:08:58.942000,79.0,127.0,223.0,116.0,False,INTERMEDIATE,2.0,True,2,0 days 02:06:35.799000,Red Bull Racing,PER,4,False,2022-05-29 14:07:35.820,
0 days 02:10:43.512000,11,0 days 00:01:44.570000,3,,,0 days 00:00:28.244000,0 days 00:00:48.546000,0 days 00:00:27.780000,0 days 02:09:27.186000,0 days 02:10:15.732000,0 days 02:10:43.512000,133.0,132.0,238.0,244.0,False,INTERMEDIATE,3.0,True,2,0 days 02:08:58.942000,Red Bull Racing,PER,1,False,2022-05-29 14:09:58.963,
0 days 02:12:25.889000,11,0 days 00:01:42.377000,4,,,0 days 00:00:27.351000,0 days 00:00:47.512000,0 days 00:00:27.514000,0 days 02:11:10.863000,0 days 02:11:58.375000,0 days 02:12:25.889000,129.0,131.0,239.0,243.0,False,INTERMEDIATE,4.0,True,2,0 days 02:10:43.512000,Red Bull Racing,PER,1,True,2022-05-29 14:11:43.533,
0 days 02:14:06.118000,11,0 days 00:01:40.229000,5,,,0 days 00:00:27.101000,0 days 00:00:46.748000,0 days 00:00:26.380000,0 days 02:12:52.990000,0 days 02:13:39.738000,0 days 02:14:06.118000,134.0,135.0,240.0,251.0,False,INTERMEDIATE,5.0,True,2,0 days 02:12:25.889000,Red Bull Racing,PER,1,True,2022-05-29 14:13:25.910,
0 days 02:15:44.388000,11,0 days 00:01:38.270000,6,,,0 days 00:00:26.095000,0 days 00:00:46.103000,0 days 00:00:26.072000,0 days 02:14:32.213000,0 days 02:15:18.316000,0 days 02:15:44.388000,143.0,138.0,243.0,260.0,False,INTERMEDIATE,6.0,True,2,0 days 02:14:06.118000,Red Bull Racing,PER,2,True,2022-05-29 14:15:06.139,
0 days 02:17:22.522000,11,0 days 00:01:38.134000,7,,,0 days 00:00:26.094000,0 days 00:00:45.815000,0 days 00:00:26.225000,0 days 02:16:10.482000,0 days 02:16:56.297000,0 days 02:17:22.522000,134.0,140.0,241.0,263.0,False,INTERMEDIATE,7.0,True,2,0 days 02:15:44.388000,Red Bull Racing,PER,1,True,2022-05-29 14:16:44.409,
0 days 02:18:59.807000,11,0 days 00:01:37.285000,8,,,0 days 00:00:25.793000,0 days 00:00:45.657000,0 days 00:00:25.835000,0 days 02:17:48.315000,0 days 02:18:33.972000,0 days 02:18:59.807000,143.0,130.0,243.0,263.0,False,INTERMEDIATE,8.0,True,2,0 days 02:17:22.522000,Red Bull Racing,PER,1,True,2022-05-29 14:18:22.543,
0 days 02:20:36.661000,11,0 days 00:01:36.854000,9,,,0 days 00:00:25.221000,0 days 00:00:45.535000,0 days 00:00:26.098000,0 days 02:19:25.028000,0 days 02:20:10.563000,0 days 02:20:36.661000,146.0,126.0,244.0,259.0,False,INTERMEDIATE,9.0,True,2,0 days 02:18:59.807000,Red Bull Racing,PER,1,True,2022-05-29 14:19:59.828,
0 days 02:22:13.544000,11,0 days 00:01:36.883000,10,,,0 days 00:00:25.570000,0 days 00:00:45.326000,0 days 00:00:25.987000,0 days 02:21:02.231000,0 days 02:21:47.557000,0 days 02:22:13.544000,145.0,129.0,245.0,265.0,False,INTERMEDIATE,10.0,True,2,0 days 02:20:36.661000,Red Bull Racing,PER,2,True,2022-05-29 14:21:36.682,
0 days 02:23:49.531000,11,0 days 00:01:35.987000,11,,,0 days 00:00:25.291000,0 days 00:00:44.854000,0 days 00:00:25.842000,0 days 02:22:38.835000,0 days 02:23:23.689000,0 days 02:23:49.531000,143.0,131.0,245.0,265.0,False,INTERMEDIATE,11.0,True,2,0 days 02:22:13.544000,Red Bull Racing,PER,2,True,2022-05-29 14:23:13.565,
0 days 02:25:25.128000,11,0 days 00:01:35.597000,12,,,0 days 00:00:24.891000,0 days 00:00:44.583000,0 days 00:00:26.123000,0 days 02:24:14.422000,0 days 02:24:59.005000,0 days 02:25:25.128000,145.0,135.0,244.0,266.0,False,INTERMEDIATE,12.0,True,2,0 days 02:23:49.531000,Red Bull Racing,PER,1,True,2022-05-29 14:24:49.552,
0 days 02:26:59.232000,11,0 days 00:01:34.104000,13,,,0 days 00:00:24.785000,0 days 00:00:43.507000,0 days 00:00:25.812000,0 days 02:25:49.913000,0 days 02:26:33.420000,0 days 02:26:59.232000,146.0,142.0,244.0,263.0,False,INTERMEDIATE,13.0,True,2,0 days 02:25:25.128000,Red Bull Racing,PER,1,True,2022-05-29 14:26:25.149,
0 days 02:28:32.477000,11,0 days 00:01:33.245000,14,,,0 days 00:00:24.589000,0 days 00:00:43.157000,0 days 00:00:25.499000,0 days 02:27:23.821000,0 days 02:28:06.978000,0 days 02:28:32.477000,153.0,145.0,246.0,265.0,False,INTERMEDIATE,14.0,True,2,0 days 02:26:59.232000,Red Bull Racing,PER,1,True,2022-05-29 14:27:59.253,
0 days 02:30:05.292000,11,0 days 00:01:32.815000,15,,,0 days 00:00:24.494000,0 days 00:00:42.810000,0 days 00:00:25.511000,0 days 02:28:56.971000,0 days 02:29:39.781000,0 days 02:30:05.292000,,148.0,245.0,262.0,False,INTERMEDIATE,15.0,True,2,0 days 02:28:32.477000,Red Bull Racing,PER,1,True,2022-05-29 14:29:32.498,
0 days 02:31:53.399000,11,0 days 00:01:48.107000,16,,0 days 02:31:29.730000,0 days 00:00:24.602000,0 days 00:00:42.400000,0 days 00:00:41.105000,0 days 02:30:29.894000,0 days 02:31:12.294000,0 days 02:31:53.399000,152.0,150.0,,263.0,False,INTERMEDIATE,16.0,True,2,0 days 02:30:05.292000,Red Bull Racing,PER,1,False,2022-05-29 14:31:05.313,16.0
0 days 02:33:25.540000,11,0 days 00:01:32.141000,17,0 days 02:31:54.001000,,0 days 00:00:26.453000,0 days 00:00:40.873000,0 days 00:00:24.815000,0 days 02:32:19.852000,0 days 02:33:00.725000,0 days 02:33:25.540000,154.0,156.0,250.0,271.0,False,INTERMEDIATE,17.0,True,2,0 days 02:31:53.399000,Red Bull Racing,PER,2,False,2022-05-29 14:32:53.420,
0 days 02:34:50.755000,11,0 days 00:01:25.215000,18,,,0 days 00:00:22.905000,0 days 00:00:39.175000,0 days 00:00:23.135000,0 days 02:33:48.445000,0 days 02:34:27.620000,0 days 02:34:50.755000,168.0,167.0,251.0,273.0,False,INTERMEDIATE,18.0,True,2,0 days 02:33:25.540000,Red Bull Racing,PER,1,True,2022-05-29 14:34:25.561,
0 days 02:36:17.721000,11,0 days 00:01:26.966000,19,,,0 days 00:00:23.017000,0 days 00:00:39.913000,0 days 00:00:24.036000,0 days 02:35:13.772000,0 days 02:35:53.685000,0 days 02:36:17.721000,167.0,166.0,249.0,270.0,False,INTERMEDIATE,19.0,True,2,0 days 02:34:50.755000,Red Bull Racing,PER,1,True,2022-05-29 14:35:50.776,
0 days 02:37:46.513000,11,0 days 00:01:28.792000,20,,,0 days 00:00:23.553000,0 days 00:00:40.944000,0 days 00:00:24.295000,0 days 02:36:41.274000,0 days 02:37:22.218000,0 days 02:37:46.513000,169.0,162.0,248.0,267.0,False,INTERMEDIATE,20.0,True,2,0 days 02:36:17.721000,Red Bull Racing,PER,1,True,2022-05-29 14:37:17.742,
0 days 02:39:15.884000,11,0 days 00:01:29.371000,21,,,0 days 00:00:24.009000,0 days 00:00:41.100000,0 days 00:00:24.262000,0 days 02:38:10.522000,0 days 02:38:51.622000,0 days 02:39:15.884000,158.0,163.0,248.0,268.0,False,INTERMEDIATE,21.0,True,2,0 days 02:37:46.513000,Red Bull Racing,PER,2,True,2022-05-29 14:38:46.534,
0 days 02:40:59.324000,11,0 days 00:01:43.440000,22,,0 days 02:40:35.537000,0 days 00:00:23.052000,0 days 00:00:40.434000,0 days 00:00:39.954000,0 days 02:39:38.936000,0 days 02:40:19.370000,0 days 02:40:59.324000,167.0,168.0,,272.0,False,INTERMEDIATE,22.0,True,2,0 days 02:39:15.884000,Red Bull Racing,PER,1,False,2022-05-29 14:40:15.905,22.0
0 days 02:42:33.473000,11,0 days 00:01:34.149000,23,0 days 02:41:00.089000,,0 days 00:00:27.208000,0 days 00:00:41.328000,0 days 00:00:25.613000,0 days 02:41:26.532000,0 days 02:42:07.860000,0 days 02:42:33.473000,159.0,156.0,242.0,248.0,False,HARD,1.0,True,3,0 days 02:40:59.324000,Red Bull Racing,PER,1,False,2022-05-29 14:41:59.345,
0 days 02:43:59.012000,11,0 days 00:01:25.539000,24,,,0 days 00:00:23.557000,0 days 00:00:38.894000,0 days 00:00:23.088000,0 days 02:42:57.030000,0 days 02:43:35.924000,0 days 02:43:59.012000,167.0,167.0,252.0,277.0,False,HARD,2.0,True,3,0 days 02:42:33.473000,Red Bull Racing,PER,1,True,2022-05-29 14:43:33.494,
0 days 02:45:21.218000,11,0 days 00:01:22.206000,25,,,0 days 00:00:22.210000,0 days 00:00:37.806000,0 days 00:00:22.190000,0 days 02:44:21.222000,0 days 02:44:59.028000,0 days 02:45:21.218000,187.0,171.0,255.0,277.0,False,HARD,3.0,True,3,0 days 02:43:59.012000,Red Bull Racing,PER,1,True,2022-05-29 14:44:59.033,
0 days 02:46:45.278000,11,0 days 00:01:24.060000,26,,,0 days 00:00:21.756000,0 days 00:00:38.547000,0 days 00:00:23.757000,0 days 02:45:42.974000,0 days 02:46:21.521000,0 days 02:46:45.278000,186.0,168.0,252.0,279.0,False,HARD,4.0,True,3,0 days 02:45:21.218000,Red Bull Racing,PER,2,True,2022-05-29 14:46:21.239,
0 days 02:48:42.533000,11,0 days 00:01:57.255000,27,,,0 days 00:00:34.183000,0 days 00:00:51.283000,0 days 00:00:31.789000,0 days 02:47:19.461000,0 days 02:48:10.744000,0 days 02:48:42.533000,120.0,129.0,227.0,197.0,False,HARD,5.0,True,3,0 days 02:46:45.278000,Red Bull Racing,PER,264,False,2022-05-29 14:47:45.299,
0 days 02:50:50.630000,11,0 days 00:02:08.097000,28,,,0 days 00:00:35.688000,0 days 00:00:54.841000,0 days 00:00:37.568000,0 days 02:49:18.221000,0 days 02:50:13.062000,0 days 02:50:50.630000,100.0,87.0,168.0,138.0,False,HARD,6.0,True,3,0 days 02:48:42.533000,Red Bull Racing,PER,4,False,2022-05-29 14:49:42.554,
0 days 02:52:49.669000,11,0 days 00:01:59.039000,29,,,0 days 00:00:32.040000,0 days 00:00:50.967000,0 days 00:00:36.032000,0 days 02:51:22.670000,0 days 02:52:13.637000,0 days 02:52:49.669000,129.0,116.0,197.0,237.0,False,HARD,7.0,True,3,0 days 02:50:50.630000,Red Bull Racing,PER,4,False,2022-05-29 14:51:50.651,
0 days 03:14:13.004000,11,,30,,0 days 02:54:41.500000,0 days 00:00:30.914000,0 days 00:00:54.026000,,0 days 02:53:20.641000,0 days 02:54:14.741000,,120.0,98.0,,176.0,False,HARD,8.0,True,3,0 days 02:52:49.669000,Red Bull Racing,PER,45,False,2022-05-29 14:53:49.690,30.0
0 days 03:16:51.272000,11,,31,0 days 03:14:13.572000,,0 days 00:00:54.337000,0 days 00:01:05.572000,0 days 00:00:38.503000,0 days 03:15:07.218000,0 days 03:16:12.867000,0 days 03:16:51.328000,90.0,73.0,134.0,109.0,False,MEDIUM,1.0,True,4,0 days 03:14:00.322000,Red Bull Racing,PER,1,False,2022-05-29 15:15:00.343,
0 days 03:18:54.757000,11,0 days 00:02:03.485000,32,,,0 days 00:00:36.399000,0 days 00:00:53.942000,0 days 00:00:33.144000,0 days 03:17:27.671000,0 days 03:18:21.613000,0 days 03:18:54.757000,116.0,135.0,250.0,130.0,False,MEDIUM,2.0,True,4,0 days 03:16:51.272000,Red Bull Racing,PER,1,True,2022-05-29 15:17:51.293,
0 days 03:20:18.172000,11,0 days 00:01:23.415000,33,,,0 days 00:00:22.358000,0 days 00:00:38.647000,0 days 00:00:22.410000,0 days 03:19:17.115000,0 days 03:19:55.762000,0 days 03:20:18.172000,177.0,171.0,252.0,273.0,False,MEDIUM,3.0,True,4,0 days 03:18:54.757000,Red Bull Racing,PER,1,True,2022-05-29 15:19:54.778,
0 days 03:21:38.849000,11,0 days 00:01:20.677000,34,,,0 days 00:00:21.557000,0 days 00:00:37.501000,0 days 00:00:21.619000,0 days 03:20:39.729000,0 days 03:21:17.230000,0 days 03:21:38.849000,183.0,175.0,253.0,272.0,False,MEDIUM,4.0,True,4,0 days 03:20:18.172000,Red Bull Racing,PER,1,True,2022-05-29 15:21:18.193,
0 days 03:22:58.650000,11,0 days 00:01:19.801000,35,,,0 days 00:00:21.212000,0 days 00:00:37.215000,0 days 00:00:21.374000,0 days 03:22:00.061000,0 days 03:22:37.276000,0 days 03:22:58.650000,,176.0,254.0,273.0,False,MEDIUM,5.0,True,4,0 days 03:21:38.849000,Red Bull Racing,PER,1,True,2022-05-29 15:22:38.870,
0 days 03:24:17.677000,11,0 days 00:01:19.027000,36,,,0 days 00:00:20.948000,0 days 00:00:36.980000,0 days 00:00:21.099000,0 days 03:23:19.598000,0 days 03:23:56.578000,0 days 03:24:17.677000,187.0,182.0,254.0,273.0,False,MEDIUM,6.0,True,4,0 days 03:22:58.650000,Red Bull Racing,PER,1,True,2022-05-29 15:23:58.671,
0 days 03:25:36.024000,11,0 days 00:01:18.347000,37,,,0 days 00:00:21.061000,0 days 00:00:36.517000,0 days 00:00:20.769000,0 days 03:24:38.738000,0 days 03:25:15.255000,0 days 03:25:36.024000,193.0,186.0,255.0,274.0,False,MEDIUM,7.0,True,4,0 days 03:24:17.677000,Red Bull Racing,PER,1,True,2022-05-29 15:25:17.698,
0 days 03:26:53.105000,11,0 days 00:01:17.081000,38,,,0 days 00:00:20.555000,0 days 00:00:36.085000,0 days 00:00:20.441000,0 days 03:25:56.579000,0 days 03:26:32.664000,0 days 03:26:53.105000,195.0,189.0,255.0,274.0,False,MEDIUM,8.0,True,4,0 days 03:25:36.024000,Red Bull Racing,PER,1,True,2022-05-29 15:26:36.045,
0 days 03:28:10.248000,11,0 days 00:01:17.143000,39,,,0 days 00:00:20.724000,0 days 00:00:35.938000,0 days 00:00:20.481000,0 days 03:27:13.829000,0 days 03:27:49.767000,0 days 03:28:10.248000,199.0,189.0,256.0,275.0,False,MEDIUM,9.0,True,4,0 days 03:26:53.105000,Red Bull Racing,PER,1,True,2022-05-29 15:27:53.126,
0 days 03:29:26.721000,11,0 days 00:01:16.473000,40,,,0 days 00:00:20.374000,0 days 00:00:35.839000,0 days 00:00:20.260000,0 days 03:28:30.622000,0 days 03:29:06.461000,0 days 03:29:26.721000,198.0,191.0,256.0,275.0,False,MEDIUM,10.0,True,4,0 days 03:28:10.248000,Red Bull Racing,PER,1,True,2022-05-29 15:29:10.269,
0 days 03:30:43.155000,11,0 days 00:01:16.434000,41,,,0 days 00:00:20.321000,0 days 00:00:35.902000,0 days 00:00:20.211000,0 days 03:29:47.042000,0 days 03:30:22.944000,0 days 03:30:43.155000,199.0,192.0,257.0,275.0,False,MEDIUM,11.0,True,4,0 days 03:29:26.721000,Red Bull Racing,PER,1,True,2022-05-29 15:30:26.742,
0 days 03:31:59.415000,11,0 days 00:01:16.260000,42,,,0 days 00:00:20.303000,0 days 00:00:35.735000,0 days 00:00:20.222000,0 days 03:31:03.458000,0 days 03:31:39.193000,0 days 03:31:59.415000,200.0,191.0,257.0,276.0,False,MEDIUM,12.0,True,4,0 days 03:30:43.155000,Red Bull Racing,PER,1,True,2022-05-29 15:31:43.176,
0 days 03:33:15.894000,11,0 days 00:01:16.479000,43,,,0 days 00:00:20.389000,0 days 00:00:35.885000,0 days 00:00:20.205000,0 days 03:32:19.804000,0 days 03:32:55.689000,0 days 03:33:15.894000,196.0,189.0,257.0,276.0,False,MEDIUM,13.0,True,4,0 days 03:31:59.415000,Red Bull Racing,PER,1,True,2022-05-29 15:32:59.436,
0 days 03:34:32.624000,11,0 days 00:01:16.730000,44,,,0 days 00:00:20.306000,0 days 00:00:35.921000,0 days 00:00:20.503000,0 days 03:33:36.200000,0 days 03:34:12.121000,0 days 03:34:32.624000,199.0,190.0,257.0,276.0,False,MEDIUM,14.0,True,4,0 days 03:33:15.894000,Red Bull Racing,PER,1,True,2022-05-29 15:34:15.915,
0 days 03:35:49.397000,11,0 days 00:01:16.773000,45,,,0 days 00:00:20.364000,0 days 00:00:35.961000,0 days 00:00:20.448000,0 days 03:34:52.988000,0 days 03:35:28.949000,0 days 03:35:49.397000,196.0,190.0,257.0,277.0,False,MEDIUM,15.0,True,4,0 days 03:34:32.624000,Red Bull Racing,PER,1,True,2022-05-29 15:35:32.645,
0 days 03:37:05.425000,11,0 days 00:01:16.028000,46,,,0 days 00:00:20.296000,0 days 00:00:35.665000,0 days 00:00:20.067000,0 days 03:36:09.693000,0 days 03:36:45.358000,0 days 03:37:05.425000,201.0,194.0,257.0,277.0,True,MEDIUM,16.0,True,4,0 days 03:35:49.397000,Red Bull Racing,PER,1,True,2022-05-29 15:36:49.418,
0 days 03:38:22.107000,11,0 days 00:01:16.682000,47,,,0 days 00:00:20.344000,0 days 00:00:35.984000,0 days 00:00:20.354000,0 days 03:37:25.769000,0 days 03:38:01.753000,0 days 03:38:22.107000,196.0,192.0,258.0,278.0,False,MEDIUM,17.0,True,4,0 days 03:37:05.425000,Red Bull Racing,PER,1,True,2022-05-29 15:38:05.446,
0 days 03:39:38.334000,11,0 days 00:01:16.227000,48,,,0 days 00:00:20.163000,0 days 00:00:35.784000,0 days 00:00:20.280000,0 days 03:38:42.270000,0 days 03:39:18.054000,0 days 03:39:38.334000,200.0,194.0,258.0,279.0,False,MEDIUM,18.0,True,4,0 days 03:38:22.107000,Red Bull Racing,PER,1,True,2022-05-29 15:39:22.128,
0 days 03:40:54.936000,11,0 days 00:01:16.602000,49,,,0 days 00:00:20.299000,0 days 00:00:35.902000,0 days 00:00:20.401000,0 days 03:39:58.633000,0 days 03:40:34.535000,0 days 03:40:54.936000,198.0,192.0,258.0,280.0,False,MEDIUM,19.0,True,4,0 days 03:39:38.334000,Red Bull Racing,PER,1,True,2022-05-29 15:40:38.355,
0 days 03:42:12.858000,11,0 days 00:01:17.922000,50,,,0 days 00:00:20.432000,0 days 00:00:36.612000,0 days 00:00:20.878000,0 days 03:41:15.368000,0 days 03:41:51.980000,0 days 03:42:12.858000,195.0,183.0,258.0,278.0,False,MEDIUM,20.0,True,4,0 days 03:40:54.936000,Red Bull Racing,PER,1,True,2022-05-29 15:41:54.957,
0 days 03:43:30.636000,11,0 days 00:01:17.778000,51,,,0 days 00:00:20.592000,0 days 00:00:36.520000,0 days 00:00:20.666000,0 days 03:42:33.450000,0 days 03:43:09.970000,0 days 03:43:30.636000,190.0,188.0,258.0,281.0,False,MEDIUM,21.0,True,4,0 days 03:42:12.858000,Red Bull Racing,PER,1,True,2022-05-29 15:43:12.879,
0 days 03:44:48.664000,11,0 days 00:01:18.028000,52,,,0 days 00:00:20.546000,0 days 00:00:36.739000,0 days 00:00:20.743000,0 days 03:43:51.182000,0 days 03:44:27.921000,0 days 03:44:48.664000,194.0,189.0,259.0,278.0,False,MEDIUM,22.0,True,4,0 days 03:43:30.636000,Red Bull Racing,PER,1,True,2022-05-29 15:44:30.657,
0 days 03:46:06.861000,11,0 days 00:01:18.197000,53,,,0 days 00:00:20.615000,0 days 00:00:36.643000,0 days 00:00:20.939000,0 days 03:45:09.279000,0 days 03:45:45.922000,0 days 03:46:06.861000,,190.0,258.0,281.0,False,MEDIUM,23.0,True,4,0 days 03:44:48.664000,Red Bull Racing,PER,1,True,2022-05-29 15:45:48.685,
0 days 03:47:25.066000,11,0 days 00:01:18.205000,54,,,0 days 00:00:20.710000,0 days 00:00:36.673000,0 days 00:00:20.822000,0 days 03:46:27.571000,0 days 03:47:04.244000,0 days 03:47:25.066000,198.0,190.0,259.0,281.0,False,MEDIUM,24.0,True,4,0 days 03:46:06.861000,Red Bull Racing,PER,1,True,2022-05-29 15:47:06.882,
0 days 03:48:43.557000,11,0 days 00:01:18.491000,55,,,0 days 00:00:20.771000,0 days 00:00:36.863000,0 days 00:00:20.857000,0 days 03:47:45.837000,0 days 03:48:22.700000,0 days 03:48:43.557000,187.0,189.0,258.0,281.0,False,MEDIUM,25.0,True,4,0 days 03:47:25.066000,Red Bull Racing,PER,1,True,2022-05-29 15:48:25.087,
0 days 03:50:02.455000,11,0 days 00:01:18.898000,56,,,0 days 00:00:20.668000,0 days 00:00:37.441000,0 days 00:00:20.789000,0 days 03:49:04.225000,0 days 03:49:41.666000,0 days 03:50:02.455000,192.0,190.0,258.0,281.0,False,MEDIUM,26.0,True,4,0 days 03:48:43.557000,Red Bull Racing,PER,1,True,2022-05-29 15:49:43.578,
0 days 03:51:21.328000,11,0 days 00:01:18.873000,57,,,0 days 00:00:20.777000,0 days 00:00:37.156000,0 days 00:00:20.940000,0 days 03:50:23.232000,0 days 03:51:00.388000,0 days 03:51:21.328000,195.0,190.0,260.0,280.0,False,MEDIUM,27.0,True,4,0 days 03:50:02.455000,Red Bull Racing,PER,2,True,2022-05-29 15:51:02.476,
0 days 03:52:40.785000,11,0 days 00:01:19.457000,58,,,0 days 00:00:20.767000,0 days 00:00:37.657000,0 days 00:00:21.033000,0 days 03:51:42.095000,0 days 03:52:19.752000,0 days 03:52:40.785000,194.0,187.0,258.0,280.0,False,MEDIUM,28.0,True,4,0 days 03:51:21.328000,Red Bull Racing,PER,1,True,2022-05-29 15:52:21.349,
0 days 03:53:59.555000,11,0 days 00:01:18.770000,59,,,0 days 00:00:20.680000,0 days 00:00:37.261000,0 days 00:00:20.829000,0 days 03:53:01.465000,0 days 03:53:38.726000,0 days 03:53:59.555000,190.0,189.0,259.0,280.0,False,MEDIUM,29.0,True,4,0 days 03:52:40.785000,Red Bull Racing,PER,1,True,2022-05-29 15:53:40.806,
0 days 03:55:18.532000,11,0 days 00:01:18.977000,60,,,0 days 00:00:20.727000,0 days 00:00:37.271000,0 days 00:00:20.979000,0 days 03:54:20.282000,0 days 03:54:57.553000,0 days 03:55:18.532000,,188.0,258.0,281.0,False,MEDIUM,30.0,True,4,0 days 03:53:59.555000,Red Bull Racing,PER,2,True,2022-05-29 15:54:59.576,
0 days 03:56:37.167000,11,0 days 00:01:18.635000,61,,,0 days 00:00:20.604000,0 days 00:00:37.198000,0 days 00:00:20.833000,0 days 03:55:39.136000,0 days 03:56:16.334000,0 days 03:56:37.167000,193.0,190.0,258.0,280.0,False,MEDIUM,31.0,True,4,0 days 03:55:18.532000,Red Bull Racing,PER,1,True,2022-05-29 15:56:18.553,
0 days 03:57:55.164000,11,0 days 00:01:17.997000,62,,,0 days 00:00:20.579000,0 days 00:00:36.774000,0 days 00:00:20.644000,0 days 03:56:57.746000,0 days 03:57:34.520000,0 days 03:57:55.164000,191.0,193.0,257.0,278.0,False,MEDIUM,32.0,True,4,0 days 03:56:37.167000,Red Bull Racing,PER,1,True,2022-05-29 15:57:37.188,
0 days 03:59:12.864000,11,0 days 00:01:17.700000,63,,,0 days 00:00:20.502000,0 days 00:00:36.739000,0 days 00:00:20.459000,0 days 03:58:15.666000,0 days 03:58:52.405000,0 days 03:59:12.864000,195.0,193.0,258.0,278.0,False,MEDIUM,33.0,True,4,0 days 03:57:55.164000,Red Bull Racing,PER,1,True,2022-05-29 15:58:55.185,
0 days 04:00:30.781000,11,0 days 00:01:17.917000,64,,,0 days 00:00:20.421000,0 days 00:00:36.816000,0 days 00:00:20.680000,0 days 03:59:33.285000,0 days 04:00:10.101000,0 days 04:00:30.781000,,190.0,257.0,278.0,False,MEDIUM,34.0,True,4,0 days 03:59:12.864000,Red Bull Racing,PER,1,True,2022-05-29 16:00:12.885,
0 days 02:06:34.027000,55,,1,0 days 02:04:13.515000,0 days 02:04:12.295000,,0 days 00:01:00.873000,0 days 00:00:35.824000,,0 days 02:05:58.262000,0 days 02:06:34.110000,114.0,113.0,150.0,92.0,False,HARD,1.0,True,2,0 days 02:04:00.206000,Ferrari,SAI,2,False,2022-05-29 14:05:00.227,1.0
0 days 02:08:58.097000,55,0 days 00:02:24.070000,2,,,0 days 00:00:35.571000,0 days 00:01:03.894000,0 days 00:00:44.605000,0 days 02:07:09.598000,0 days 02:08:13.492000,0 days 02:08:58.097000,78.0,116.0,225.0,112.0,False,HARD,2.0,True,2,0 days 02:06:34.027000,Ferrari,SAI,4,False,2022-05-29 14:07:34.048,
0 days 02:10:42.420000,55,0 days 00:01:44.323000,3,,,0 days 00:00:28.276000,0 days 00:00:48.088000,0 days 00:00:27.959000,0 days 02:09:26.373000,0 days 02:10:14.461000,0 days 02:10:42.420000,133.0,130.0,235.0,240.0,False,HARD,3.0,True,2,0 days 02:08:58.097000,Ferrari,SAI,1,False,2022-05-29 14:09:58.118,
0 days 02:12:24.415000,55,0 days 00:01:41.995000,4,,,0 days 00:00:27.267000,0 days 00:00:47.317000,0 days 00:00:27.411000,0 days 02:11:09.687000,0 days 02:11:57.004000,0 days 02:12:24.415000,141.0,136.0,241.0,251.0,False,HARD,4.0,True,2,0 days 02:10:42.420000,Ferrari,SAI,1,True,2022-05-29 14:11:42.441,
0 days 02:14:04.620000,55,0 days 00:01:40.205000,5,,,0 days 00:00:27.015000,0 days 00:00:46.335000,0 days 00:00:26.855000,0 days 02:12:51.430000,0 days 02:13:37.765000,0 days 02:14:04.620000,145.0,135.0,241.0,259.0,False,HARD,5.0,True,2,0 days 02:12:24.415000,Ferrari,SAI,1,True,2022-05-29 14:13:24.436,
0 days 02:15:42.618000,55,0 days 00:01:37.998000,6,,,0 days 00:00:26.215000,0 days 00:00:45.563000,0 days 00:00:26.220000,0 days 02:14:30.835000,0 days 02:15:16.398000,0 days 02:15:42.618000,148.0,141.0,244.0,258.0,False,HARD,6.0,True,2,0 days 02:14:04.620000,Ferrari,SAI,2,True,2022-05-29 14:15:04.641,
0 days 02:17:20.551000,55,0 days 00:01:37.933000,7,,,0 days 00:00:26.301000,0 days 00:00:45.576000,0 days 00:00:26.056000,0 days 02:16:08.919000,0 days 02:16:54.495000,0 days 02:17:20.551000,146.0,142.0,243.0,260.0,False,HARD,7.0,True,2,0 days 02:15:42.618000,Ferrari,SAI,1,True,2022-05-29 14:16:42.639,
0 days 02:18:57.820000,55,0 days 00:01:37.269000,8,,,0 days 00:00:26.153000,0 days 00:00:45.104000,0 days 00:00:26.012000,0 days 02:17:46.704000,0 days 02:18:31.808000,0 days 02:18:57.820000,148.0,132.0,244.0,264.0,False,HARD,8.0,True,2,0 days 02:17:20.551000,Ferrari,SAI,1,True,2022-05-29 14:18:20.572,
0 days 02:20:35,55,0 days 00:01:37.180000,9,,,0 days 00:00:25.929000,0 days 00:00:45.049000,0 days 00:00:26.202000,0 days 02:19:23.749000,0 days 02:20:08.798000,0 days 02:20:35,149.0,138.0,244.0,260.0,False,HARD,9.0,True,2,0 days 02:18:57.820000,Ferrari,SAI,1,True,2022-05-29 14:19:57.841,
