Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,PitLap
0 days 03:27:21.607000,10,0 days 00:01:21.656000,38,,,0 days 00:00:21.799000,0 days 00:00:37.909000,0 days 00:00:21.948000,0 days 03:26:21.750000,0 days 03:26:59.659000,0 days 03:27:21.607000,184.0,176.0,258.0,283.0,False,HARD,16.0,False,4,0 days 03:25:59.951000,AlphaTauri,GAS,1,True,2022-05-29 15:26:59.972,
0 days 03:28:42.134000,10,0 days 00:01:20.527000,39,,,0 days 00:00:21.440000,0 days 00:00:37.608000,0 days 00:00:21.479000,0 days 03:27:43.047000,0 days 03:28:20.655000,0 days 03:28:42.134000,190.0,178.0,265.0,282.0,False,HARD,17.0,False,4,0 days 03:27:21.607000,AlphaTauri,GAS,1,True,2022-05-29 15:28:21.628,
0 days 03:30:02.264000,10,0 days 00:01:20.130000,40,,,0 days 00:00:21.478000,0 days 00:00:37.277000,0 days 00:00:21.375000,0 days 03:29:03.612000,0 days 03:29:40.889000,0 days 03:30:02.264000,189.0,179.0,266.0,283.0,False,HARD,18.0,False,4,0 days 03:28:42.134000,AlphaTauri,GAS,1,True,2022-05-29 15:29:42.155,
0 days 03:31:22.354000,10,0 days 00:01:20.090000,41,,,0 days 00:00:21.454000,0 days 00:00:37.304000,0 days 00:00:21.332000,0 days 03:30:23.718000,0 days 03:31:01.022000,0 days 03:31:22.354000,188.0,183.0,265.0,284.0,False,HARD,19.0,False,4,0 days 03:30:02.264000,AlphaTauri,GAS,1,True,2022-05-29 15:31:02.285,
0 days 03:32:42.127000,10,0 days 00:01:19.773000,42,,,0 days 00:00:21.284000,0 days 00:00:37.204000,0 days 00:00:21.285000,0 days 03:31:43.638000,0 days 03:32:20.842000,0 days 03:32:42.127000,190.0,182.0,266.0,284.0,False,HARD,20.0,False,4,0 days 03:31:22.354000,AlphaTauri,GAS,1,True,2022-05-29 15:32:22.375,
0 days 03:34:01.470000,10,0 days 00:01:19.343000,43,,,0 days 00:00:21.290000,0 days 00:00:36.832000,0 days 00:00:21.221000,0 days 03:33:03.417000,0 days 03:33:40.249000,0 days 03:34:01.470000,196.0,186.0,258.0,283.0,False,HARD,21.0,False,4,0 days 03:32:42.127000,AlphaTauri,GAS,1,True,2022-05-29 15:33:42.148,
0 days 03:35:20.672000,10,0 days 00:01:19.202000,44,,,0 days 00:00:21.055000,0 days 00:00:37.051000,0 days 00:00:21.096000,0 days 03:34:22.525000,0 days 03:34:59.576000,0 days 03:35:20.672000,194.0,183.0,266.0,282.0,False,HARD,22.0,False,4,0 days 03:34:01.470000,AlphaTauri,GAS,1,True,2022-05-29 15:35:01.491,
0 days 03:36:40.597000,10,0 days 00:01:19.925000,45,,,0 days 00:00:21.228000,0 days 00:00:37.392000,0 days 00:00:21.305000,0 days 03:35:41.900000,0 days 03:36:19.292000,0 days 03:36:40.597000,186.0,178.0,260.0,282.0,False,HARD,23.0,False,4,0 days 03:35:20.672000,AlphaTauri,GAS,1,True,2022-05-29 15:36:20.693,
0 days 03:37:59.997000,10,0 days 00:01:19.400000,46,,,0 days 00:00:21.347000,0 days 00:00:36.829000,0 days 00:00:21.224000,0 days 03:37:01.944000,0 days 03:37:38.773000,0 days 03:37:59.997000,188.0,185.0,258.0,283.0,False,HARD,24.0,False,4,0 days 03:36:40.597000,AlphaTauri,GAS,1,True,2022-05-29 15:37:40.618,
0 days 03:39:19.015000,10,0 days 00:01:19.018000,47,,,0 days 00:00:20.983000,0 days 00:00:36.817000,0 days 00:00:21.218000,0 days 03:38:20.980000,0 days 03:38:57.797000,0 days 03:39:19.015000,195.0,183.0,258.0,282.0,False,HARD,25.0,False,4,0 days 03:37:59.997000,AlphaTauri,GAS,1,True,2022-05-29 15:39:00.018,
0 days 03:40:37.037000,10,0 days 00:01:18.022000,48,,,0 days 00:00:20.843000,0 days 00:00:36.409000,0 days 00:00:20.770000,0 days 03:39:39.858000,0 days 03:40:16.267000,0 days 03:40:37.037000,196.0,186.0,259.0,281.0,False,HARD,26.0,False,4,0 days 03:39:19.015000,AlphaTauri,GAS,1,True,2022-05-29 15:40:19.036,
0 days 03:41:55.352000,10,0 days 00:01:18.315000,49,,,0 days 00:00:20.768000,0 days 00:00:36.561000,0 days 00:00:20.986000,0 days 03:40:57.805000,0 days 03:41:34.366000,0 days 03:41:55.352000,,187.0,258.0,282.0,False,HARD,27.0,False,4,0 days 03:40:37.037000,AlphaTauri,GAS,1,True,2022-05-29 15:41:37.058,
0 days 03:43:13.916000,10,0 days 00:01:18.564000,50,,,0 days 00:00:20.800000,0 days 00:00:36.714000,0 days 00:00:21.050000,0 days 03:42:16.152000,0 days 03:42:52.866000,0 days 03:43:13.916000,,186.0,260.0,281.0,False,HARD,28.0,False,4,0 days 03:41:55.352000,AlphaTauri,GAS,1,True,2022-05-29 15:42:55.373,
0 days 03:44:31.989000,10,0 days 00:01:18.073000,51,,,0 days 00:00:20.788000,0 days 00:00:36.362000,0 days 00:00:20.923000,0 days 03:43:34.704000,0 days 03:44:11.066000,0 days 03:44:31.989000,195.0,189.0,260.0,283.0,False,HARD,29.0,False,4,0 days 03:43:13.916000,AlphaTauri,GAS,1,True,2022-05-29 15:44:13.937,
0 days 03:45:50.221000,10,0 days 00:01:18.232000,52,,,0 days 00:00:20.761000,0 days 00:00:36.732000,0 days 00:00:20.739000,0 days 03:44:52.750000,0 days 03:45:29.482000,0 days 03:45:50.221000,198.0,188.0,260.0,282.0,False,HARD,30.0,False,4,0 days 03:44:31.989000,AlphaTauri,GAS,1,True,2022-05-29 15:45:32.010,
0 days 03:47:07.917000,10,0 days 00:01:17.696000,53,,,0 days 00:00:20.587000,0 days 00:00:36.413000,0 days 00:00:20.696000,0 days 03:46:10.808000,0 days 03:46:47.221000,0 days 03:47:07.917000,,188.0,260.0,283.0,False,HARD,31.0,False,4,0 days 03:45:50.221000,AlphaTauri,GAS,1,True,2022-05-29 15:46:50.242,
0 days 03:48:25.948000,10,0 days 00:01:18.031000,54,,,0 days 00:00:20.655000,0 days 00:00:36.475000,0 days 00:00:20.901000,0 days 03:47:28.572000,0 days 03:48:05.047000,0 days 03:48:25.948000,195.0,188.0,260.0,283.0,False,HARD,32.0,False,4,0 days 03:47:07.917000,AlphaTauri,GAS,1,True,2022-05-29 15:48:07.938,
0 days 03:49:43.462000,10,0 days 00:01:17.514000,55,,,0 days 00:00:20.567000,0 days 00:00:36.345000,0 days 00:00:20.602000,0 days 03:48:46.515000,0 days 03:49:22.860000,0 days 03:49:43.462000,199.0,190.0,260.0,283.0,False,HARD,33.0,False,4,0 days 03:48:25.948000,AlphaTauri,GAS,1,True,2022-05-29 15:49:25.969,
