Time,DistanceGap_SAI
0.0,0.0
0.25000900090009,-1.1946628207929955
0.50001800180018,-2.777438344745917
0.75002700270027,-4.049649338996204
1.00003600360036,-5.152489986528124
1.2500450045004499,-6.030097920249858
1.50005400540054,-6.459269762939186
1.75006300630063,-6.966787028959459
2.00007200720072,-6.947804636209582
2.25008100810081,-7.453579685437546
2.5000900090008997,-8.543404363024479
2.75009900990099,-8.965218838305617
3.00010801080108,-9.66580570923432
3.2501170117011697,-10.57229561265919
3.50012601260126,-10.569737124015347
3.7501350135013496,-10.624070520897533
4.00014401440144,-10.69986316588762
4.25015301530153,-10.397421225735684
4.50016201620162,-10.689471870825741
4.750171017101709,-10.745823291268778
5.0001800180017995,-10.993131834194912
5.25018901890189,-11.500409872221326
5.50019801980198,-11.764025839869532
5.75020702070207,-12.599559536566403
6.00021602160216,-13.15047265980229
6.250225022502249,-13.469665251244237
6.5002340234023395,-13.894697970758273
6.75024302430243,-14.573749059970453
7.00025202520252,-15.198435179293483
7.25026102610261,-15.751158548141746
7.500270027002699,-16.41764490484269
7.750279027902789,-17.4321958946785
8.00028802880288,-18.312772014562654
8.250297029702969,-19.10941176260502
8.50030603060306,-19.307178952683273
8.750315031503149,-18.654774110089477
9.00032403240324,-14.873826172286499
9.25033303330333,-10.055864001348539
9.500342034203419,-4.541331214378204
9.75035103510351,0.05283133045577415
10.000360036003599,5.345910617844311
10.25036903690369,9.646456885128714
10.50037803780378,13.032075941925086
10.750387038703868,14.993651759877821
11.00039603960396,17.120927687496533
11.250405040504049,18.343862937698077
11.50041404140414,20.16896727298456
11.750423042304229,21.53334631765449
12.00043204320432,22.56896762954989
12.25044104410441,23.145150330314664
12.500450045004499,21.827719690073764
12.75045904590459,19.680371668540374
13.000468046804679,16.531667094923478
13.25047704770477,12.968040432307475
13.50048604860486,8.023075417451764
13.750495049504948,2.5380772202622666
14.00050405040504,-3.473235540777978
14.250513051305129,-10.031795751185655
14.50052205220522,-17.12475388350026
14.750531053105309,-22.487755568054922
