Time,DistanceGap_LEC,DistanceGap_SAI
0.0,0.0,0.0
0.2504012841091493,0.20792696276904904,0.20792696276904904
0.5008025682182986,0.4158539255380982,0.4158539255380982
0.7512038523274479,0.6237808883071473,0.6237808883071473
1.0016051364365972,0.8317078510761964,0.8317078510761964
1.2520064205457464,1.0396348138452454,1.0396348138452454
1.5024077046548958,1.2460415926996695,1.2475617766142946
1.7528089887640452,1.1963121157633787,1.4554887393833438
2.0032102728731944,1.4042390785324277,1.6634157021523928
2.2536115569823436,1.6121660413014762,1.8713426649214415
2.504012841091493,1.8200930040705257,2.0792696276904907
2.7544141252006424,2.028019966839575,2.28719659045954
3.0048154093097916,2.1818430532091355,2.4745174580721176
3.255216693418941,1.843831806513756,2.4745174580721176
3.5056179775280905,1.2822564544720336,2.4745174580721176
3.7560192616372396,0.5154129391807376,2.4656359998092867
4.006420545746389,-1.5802567903306155,2.326807594097704
4.2568218298555385,-3.6759265198419717,2.1879791883861213
4.507223113964687,-5.771596249353323,2.0491507826745385
4.757624398073837,-7.867265978864678,1.9103223769629558
5.008025682182986,-10.042862367786919,1.6894250252595646
5.258426966292135,-12.273736595976427,1.3017556015667455
5.508828250401285,-14.504610824165937,0.6537117231104967
5.759229534510434,-16.73548505235544,-0.2835224035511077
6.009630818619583,-18.926232578736933,-1.5437368114351635
6.260032102728733,-21.089504557587368,-3.1109782478814845
6.510433386837882,-23.276921373145647,-5.014915500094009
6.760834670947031,-25.424895387852168,-7.208168848087016
7.011235955056181,-27.389520473081053,-9.56865592760531
7.26163723916533,-29.182221060286665,-11.907050400853073
7.512038523274479,-30.78590626399082,-13.961601680167266
7.762439807383628,-32.289259789001704,-15.8211697484358
8.012841091492778,-33.68671942786441,-17.419064212578412
8.263242375601926,-34.94821571463011,-18.83601981576469
8.513643659711077,-35.9991304155444,-20.0179551391031
8.764044943820226,-36.739839935884405,-20.829468578268436
9.014446227929374,-37.379147437328584,-21.53219445279766
9.264847512038525,-37.7163921536287,-21.932857542182823
9.515248796147674,-37.928329774673735,-22.170720967513986
9.765650080256822,-37.869709928385916,-22.055984290439028
10.016051364365971,-37.719554512979556,-21.832230795922843
10.266452648475122,-37.450184973188655,-21.489263177022114
10.51685393258427,-37.18081543339774,-21.10835802648366
10.76725521669342,-37.0138309250178,-20.74780688736953
11.01765650080257,-36.88217457032083,-20.4373003916022
11.268057784911718,-36.751423005709306,-20.16353654502504
11.518459069020867,-36.58168699421452,-19.775572367483797
11.768860353130018,-36.28646634114331,-19.218643623170742
12.019261637239167,-35.73986085099367,-18.45961164819969
12.269662921348315,-35.192098936272956,-17.65361839125282
12.520064205457466,-34.64338412551753,-16.792555651520146
12.770465489566615,-34.09336515886668,-15.825491498513948
13.020866773675763,-33.740890626134835,-14.991213591385183
13.271268057784914,-33.627027285335195,-14.279168303908158
13.521669341894063,-33.59598711799233,-13.628276202192716
13.772070626003211,-33.71973540699303,-13.049508598928377
14.022471910112362,-33.96888183465167,-12.498193156194148
14.27287319422151,-34.34974353097337,-11.983379114058692
14.52327447833066,-34.86582285512293,-11.501372658914164
14.773675762439808,-35.96062596856322,-11.019366203769636
15.024077046548959,-37.92428049141769,-10.537359748625079
15.274478330658107,-40.45194144594866,-10.059083983024095
15.524879614767256,-43.364997839846154,-9.646386515469246
15.775280898876407,-46.8606482706132,-9.395927475989765
16.025682182985555,-50.89484195400304,-9.260890557059057
16.276083467094704,-55.26998570719013,-9.288230467514893
16.526484751203853,-59.68467455339864,-9.786323015745381
16.776886035313,-64.80180970818697,-10.570879189962085
17.027287319422154,-70.50574730076083,-11.476088442143606
17.277688603531303,-74.41020142358688,-12.406996144314249
17.52808988764045,-78.06176234546238,-13.660555191096705
17.7784911717496,-81.2528622515478,-14.782490345474088
18.02889245585875,-84.07262504479314,-16.014281622516137
18.279293739967898,-86.47483935936582,-17.29666316568452
18.52969502407705,-88.33802050991443,-18.62153029011273
18.7800963081862,-89.68089937960146,-20.255672236247378
19.030497592295347,-90.47694349903944,-21.925917359708052
19.280898876404496,-90.8228613338366,-23.640265507336537
19.531300160513645,-90.64640500613353,-25.5609378239038
19.781701444622794,-89.97758164262538,-27.581840851679885
20.032102728731942,-88.79246533718216,-28.891771589037774
20.282504012841095,-87.17278551752355,-29.675444528704958
20.532905296950243,-85.26664080690477,-30.170497676846935
20.783306581059392,-82.75739716527107,-29.789756178470924
21.03370786516854,-79.75084234447039,-29.036511043135818
21.28410914927769,-76.61461129364508,-28.010326941867447
21.53451043338684,-72.88460399753257,-26.021656774423633
21.78491171749599,-68.87898502011012,-23.530485832921187
22.03531300160514,-64.70612457803904,-20.695866764573452
22.28571428571429,-61.09566525143876,-18.167623868682455
22.536115569823437,-58.119468908941855,-16.019501206689057
22.786516853932586,-56.08060468561169,-14.423661615313648
23.036918138041734,-54.16126005535921,-12.835219569275978
23.287319422150887,-52.42805760712341,-11.20931713907001
23.537720706260036,-50.741787027027954,-9.482063643165532
23.788121990369184,-49.56396109865341,-8.173693676032002
24.038523274478333,-48.6803554294375,-7.085707547485157
24.288924558587482,-48.3649039568802,-6.190267117923042
24.53932584269663,-49.26355432123853,-5.952109258970182
24.78972712680578,-50.868273642185045,-6.09619842798719
25.04012841091493,-52.79358491965729,-6.251346204389733
25.29052969502408,-55.148755936336045,-6.533842918053892
25.54093097913323,-58.08854202310209,-6.882750526192012
25.791332263242378,-61.96239345250831,-7.234556227445864
26.041733547351527,-66.39844481363156,-7.5864378705158515
26.292134831460675,-71.75974182022657,-8.022141519065144
26.542536115569828,-77.84828389121486,-8.602440291717187
26.792937399678976,-84.23578183309667,-9.451400244106424
27.043338683788125,-90.78399904704878,-10.497347973918181
27.293739967897274,-97.08479982867942,-11.62797836143693
27.544141252006423,-103.33963411419376,-13.01670098931885
27.79454253611557,-109.7120893799941,-14.733646005627293
28.044943820224724,-114.96056176096056,-16.923057669820423
28.295345104333872,-119.74785066850399,-19.307641152191536
28.54574638844302,-124.07068698891834,-21.91801924727008
28.79614767255217,-128.14095326606628,-24.725843305717206
29.04654895666132,-132.35280337882563,-27.680197902566874
29.296950240770467,-137.30603949722797,-31.589350415968113
29.547351524879616,-143.34198622933104,-36.06079379044269
29.79775280898877,-149.89265852061294,-40.839739397266044
30.048154093097917,-156.22557565367936,-45.766058004847025
30.298555377207066,-160.8723961948843,-51.18562659090412
30.548956661316215,-165.13449205318523,-56.71254849209754
30.799357945425363,-168.5781592587794,-62.44992336959149
31.049759229534512,-171.31675617423474,-68.35633831303409
31.300160513643664,-173.7215722257514,-74.42980258784957
31.550561797752813,-176.03954108117637,-80.55984923789742
31.800963081861962,-178.23127522468332,-86.96678090172861
32.05136436597111,-180.21440549055131,-93.20787283633985
32.30176565008026,-181.95621308210997,-99.03704641276039
32.55216693418941,-183.43480636636144,-104.38770578368184
32.80256821829856,-184.68494750863937,-108.90538954713105
33.052969502407706,-185.94466408734064,-112.73194964474294
33.30337078651686,-187.0464858319682,-115.86684680672715
33.553772070626,-188.3289965017434,-118.6189512306068
33.804173354735155,-190.23591344413376,-120.87479343138602
34.05457463884431,-190.49749364643213,-122.34553838435517
34.30497592295345,-190.0413980095526,-123.61039032676774
34.555377207062605,-188.8698459186615,-124.62947197597163
34.80577849117175,-186.39223319520823,-124.95313367202533
35.0561797752809,-183.50485494814512,-124.9686003161433
35.306581059390055,-180.4186263701178,-124.70950442673148
35.5569823434992,-176.76543578306695,-123.82395423218355
35.80738362760835,-172.82869241863744,-122.65271826574548
36.0577849117175,-168.36933922709056,-120.9883283026644
