Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate
0 days 00:41:20.737000,16,0 days 00:01:33.591000,22,,,0 days 00:00:29.843000,0 days 00:00:27.333000,0 days 00:00:36.415000,0 days 00:40:16.989000,0 days 00:40:44.322000,0 days 00:41:20.737000,268.0,282.0,280.0,291.0,False,SOFT,2.0,True,2.0,0 days 00:39:47.146000,Sauber,LEC,1,True
0 days 00:42:50.705000,16,0 days 00:01:29.968000,23,,,0 days 00:00:30.302000,0 days 00:00:24.112000,0 days 00:00:35.554000,0 days 00:41:51.039000,0 days 00:42:15.151000,0 days 00:42:50.705000,262.0,287.0,279.0,285.0,False,SOFT,3.0,True,2.0,0 days 00:41:20.737000,Sauber,LEC,2,True
0 days 00:44:20.028000,16,0 days 00:01:29.323000,24,,,0 days 00:00:29.856000,0 days 00:00:23.855000,0 days 00:00:35.612000,0 days 00:43:20.561000,0 days 00:43:44.416000,0 days 00:44:20.028000,267.0,288.0,280.0,286.0,False,SOFT,4.0,True,2.0,0 days 00:42:50.705000,Sauber,LEC,2,True
0 days 00:46:11.651000,16,0 days 00:01:51.623000,25,,,0 days 00:00:30.268000,0 days 00:00:31.543000,0 days 00:00:49.812000,0 days 00:44:50.296000,0 days 00:45:21.839000,0 days 00:46:11.651000,266.0,181.0,172.0,280.0,False,SOFT,5.0,True,2.0,0 days 00:44:20.028000,Sauber,LEC,26,False
0 days 00:48:14.973000,16,0 days 00:02:03.322000,26,,,0 days 00:00:41.478000,0 days 00:00:31.801000,0 days 00:00:50.043000,0 days 00:46:53.129000,0 days 00:47:24.930000,0 days 00:48:14.973000,208.0,222.0,182.0,182.0,False,SOFT,6.0,True,2.0,0 days 00:46:11.651000,Sauber,LEC,6,False
0 days 00:50:34.619000,16,0 days 00:02:19.646000,27,,0 days 00:50:14.593000,0 days 00:00:40.761000,0 days 00:00:32.758000,0 days 00:01:06.127000,0 days 00:48:55.734000,0 days 00:49:28.492000,0 days 00:50:34.619000,187.0,206.0,,195.0,False,SOFT,7.0,True,2.0,0 days 00:48:14.973000,Sauber,LEC,64,False
0 days 00:52:44.289000,16,0 days 00:02:09.670000,28,0 days 00:50:38.181000,,0 days 00:00:45.836000,0 days 00:00:33.264000,0 days 00:00:50.570000,0 days 00:51:20.455000,0 days 00:51:53.719000,0 days 00:52:44.289000,191.0,214.0,201.0,203.0,False,ULTRASOFT,1.0,True,3.0,0 days 00:50:34.619000,Sauber,LEC,4,False
0 days 00:54:19.800000,16,0 days 00:01:35.511000,29,,,0 days 00:00:33.601000,0 days 00:00:24.960000,0 days 00:00:36.950000,0 days 00:53:17.890000,0 days 00:53:42.850000,0 days 00:54:19.800000,254.0,284.0,277.0,194.0,False,ULTRASOFT,2.0,True,3.0,0 days 00:52:44.289000,Sauber,LEC,4,False
0 days 00:55:52.391000,16,0 days 00:01:32.591000,30,,,0 days 00:00:31.078000,0 days 00:00:24.062000,0 days 00:00:37.451000,0 days 00:54:50.878000,0 days 00:55:14.940000,0 days 00:55:52.391000,269.0,290.0,280.0,234.0,False,ULTRASOFT,3.0,True,3.0,0 days 00:54:19.800000,Sauber,LEC,4,False
0 days 00:57:35.322000,16,0 days 00:01:42.931000,31,,,0 days 00:00:30.444000,0 days 00:00:27.240000,0 days 00:00:45.247000,0 days 00:56:22.835000,0 days 00:56:50.075000,0 days 00:57:35.322000,270.0,259.0,299.0,284.0,False,ULTRASOFT,4.0,True,3.0,0 days 00:55:52.391000,Sauber,LEC,4,False
0 days 00:59:07.793000,16,0 days 00:01:32.471000,32,,,0 days 00:00:31.231000,0 days 00:00:24.595000,0 days 00:00:36.645000,0 days 00:58:06.553000,0 days 00:58:31.148000,0 days 00:59:07.793000,272.0,302.0,289.0,306.0,False,ULTRASOFT,5.0,True,3.0,0 days 00:57:35.322000,Sauber,LEC,1,False
0 days 01:00:38.792000,16,0 days 00:01:30.999000,33,,,0 days 00:00:30.404000,0 days 00:00:24.365000,0 days 00:00:36.230000,0 days 00:59:38.197000,0 days 01:00:02.562000,0 days 01:00:38.792000,264.0,297.0,285.0,286.0,False,ULTRASOFT,6.0,True,3.0,0 days 00:59:07.793000,Sauber,LEC,1,True
0 days 01:02:08.893000,16,0 days 00:01:30.101000,34,,,0 days 00:00:30.134000,0 days 00:00:23.933000,0 days 00:00:36.034000,0 days 01:01:08.926000,0 days 01:01:32.859000,0 days 01:02:08.893000,268.0,293.0,296.0,291.0,False,ULTRASOFT,7.0,True,3.0,0 days 01:00:38.792000,Sauber,LEC,1,True
