Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate
0 days 01:33:04.154000,27,0 days 00:01:34.862000,52,,,0 days 00:00:30.346000,0 days 00:00:41.183000,0 days 00:00:23.333000,0 days 01:31:59.638000,0 days 01:32:40.821000,0 days 01:33:04.154000,234.0,247.0,283.0,273.0,False,SUPERSOFT,16.0,False,3.0,0 days 01:31:29.292000,Renault,HUL,1,True
0 days 01:34:39.069000,27,0 days 00:01:34.915000,53,,,0 days 00:00:30.325000,0 days 00:00:41.287000,0 days 00:00:23.303000,0 days 01:33:34.479000,0 days 01:34:15.766000,0 days 01:34:39.069000,235.0,246.0,282.0,285.0,False,SUPERSOFT,17.0,False,3.0,0 days 01:33:04.154000,Renault,HUL,1,True
0 days 01:36:14.026000,27,0 days 00:01:34.957000,54,,,0 days 00:00:30.298000,0 days 00:00:41.306000,0 days 00:00:23.353000,0 days 01:35:09.367000,0 days 01:35:50.673000,0 days 01:36:14.026000,234.0,244.0,283.0,283.0,False,SUPERSOFT,18.0,False,3.0,0 days 01:34:39.069000,Renault,HUL,1,True
0 days 01:37:48.752000,27,0 days 00:01:34.726000,55,,,0 days 00:00:30.427000,0 days 00:00:41.023000,0 days 00:00:23.276000,0 days 01:36:44.453000,0 days 01:37:25.476000,0 days 01:37:48.752000,230.0,250.0,282.0,282.0,False,SUPERSOFT,19.0,False,3.0,0 days 01:36:14.026000,Renault,HUL,1,True
0 days 01:39:26.947000,27,0 days 00:01:38.195000,56,,,0 days 00:00:30.451000,0 days 00:00:42.866000,0 days 00:00:24.878000,0 days 01:38:19.203000,0 days 01:39:02.069000,0 days 01:39:26.947000,233.0,217.0,268.0,287.0,False,SUPERSOFT,20.0,False,3.0,0 days 01:37:48.752000,Renault,HUL,1,True
0 days 01:41:18.098000,27,0 days 00:01:51.151000,57,,,0 days 00:00:32.983000,0 days 00:00:48.960000,0 days 00:00:29.208000,0 days 01:39:59.930000,0 days 01:40:48.890000,0 days 01:41:18.098000,205.0,181.0,169.0,233.0,False,SUPERSOFT,21.0,False,3.0,0 days 01:39:26.947000,Renault,HUL,1,True
0 days 00:09:20.062000,14,,1,0 days 00:00:09.059000,,,0 days 00:00:42.743000,0 days 00:00:24.238000,,0 days 00:08:56.044000,0 days 00:09:20.163000,240.0,250.0,283.0,264.0,False,,,,,0 days 00:07:36.924000,McLaren,ALO,2,False
0 days 00:11:08.874000,14,0 days 00:01:48.812000,2,,,0 days 00:00:31.333000,0 days 00:00:42.354000,0 days 00:00:35.125000,0 days 00:09:51.395000,0 days 00:10:33.749000,0 days 00:11:08.874000,228.0,253.0,167.0,300.0,False,SOFT,1.0,True,1.0,0 days 00:09:20.062000,McLaren,ALO,26,False
0 days 00:13:17.542000,14,0 days 00:02:08.668000,3,,,0 days 00:00:41.025000,0 days 00:00:53.726000,0 days 00:00:33.917000,0 days 00:11:49.899000,0 days 00:12:43.625000,0 days 00:13:17.542000,194.0,154.0,146.0,146.0,False,SOFT,2.0,True,1.0,0 days 00:11:08.874000,McLaren,ALO,6,False
0 days 00:15:11.840000,14,0 days 00:01:54.298000,4,,,0 days 00:00:40.206000,0 days 00:00:49.555000,0 days 00:00:24.537000,0 days 00:13:57.748000,0 days 00:14:47.303000,0 days 00:15:11.840000,176.0,247.0,288.0,159.0,False,SOFT,3.0,True,1.0,0 days 00:13:17.542000,McLaren,ALO,67,False
0 days 00:16:50.134000,14,0 days 00:01:38.294000,5,,,0 days 00:00:31.114000,0 days 00:00:42.770000,0 days 00:00:24.410000,0 days 00:15:42.954000,0 days 00:16:25.724000,0 days 00:16:50.134000,232.0,248.0,281.0,303.0,False,SOFT,4.0,True,1.0,0 days 00:15:11.840000,McLaren,ALO,2,True
0 days 00:18:28.216000,14,0 days 00:01:38.082000,6,,,0 days 00:00:31.254000,0 days 00:00:42.513000,0 days 00:00:24.315000,0 days 00:17:21.388000,0 days 00:18:03.901000,0 days 00:18:28.216000,235.0,249.0,283.0,287.0,False,SOFT,5.0,True,1.0,0 days 00:16:50.134000,McLaren,ALO,2,True
0 days 00:20:05.869000,14,0 days 00:01:37.653000,7,,,0 days 00:00:31.034000,0 days 00:00:42.409000,0 days 00:00:24.210000,0 days 00:18:59.250000,0 days 00:19:41.659000,0 days 00:20:05.869000,,248.0,287.0,294.0,False,SOFT,6.0,True,1.0,0 days 00:18:28.216000,McLaren,ALO,1,True
0 days 00:21:43.613000,14,0 days 00:01:37.744000,8,,,0 days 00:00:31,0 days 00:00:42.463000,0 days 00:00:24.281000,0 days 00:20:36.869000,0 days 00:21:19.332000,0 days 00:21:43.613000,,258.0,286.0,299.0,False,SOFT,7.0,True,1.0,0 days 00:20:05.869000,McLaren,ALO,1,True
0 days 00:23:21.274000,14,0 days 00:01:37.661000,9,,,0 days 00:00:30.873000,0 days 00:00:42.475000,0 days 00:00:24.313000,0 days 00:22:14.486000,0 days 00:22:56.961000,0 days 00:23:21.274000,236.0,250.0,286.0,302.0,False,SOFT,8.0,True,1.0,0 days 00:21:43.613000,McLaren,ALO,1,True
0 days 00:24:59.270000,14,0 days 00:01:37.996000,10,,,0 days 00:00:30.948000,0 days 00:00:42.703000,0 days 00:00:24.345000,0 days 00:23:52.222000,0 days 00:24:34.925000,0 days 00:24:59.270000,235.0,254.0,277.0,294.0,False,SOFT,9.0,True,1.0,0 days 00:23:21.274000,McLaren,ALO,2,True
0 days 00:26:36.879000,14,0 days 00:01:37.609000,11,,,0 days 00:00:30.920000,0 days 00:00:42.478000,0 days 00:00:24.211000,0 days 00:25:30.190000,0 days 00:26:12.668000,0 days 00:26:36.879000,,255.0,277.0,296.0,False,SOFT,10.0,True,1.0,0 days 00:24:59.270000,McLaren,ALO,2,True
0 days 00:28:14.690000,14,0 days 00:01:37.811000,12,,,0 days 00:00:31.157000,0 days 00:00:42.183000,,0 days 00:29:44.359000,0 days 00:29:44.359000,,233.0,254.0,,292.0,False,SOFT,11.0,True,1.0,0 days 00:26:36.879000,McLaren,ALO,1,False
0 days 00:29:52.196000,14,0 days 00:01:37.506000,13,,,,,0 days 00:00:24.166000,,,0 days 00:29:52.296000,,,275.0,,False,SOFT,12.0,True,1.0,0 days 00:28:14.690000,McLaren,ALO,1,False
0 days 00:31:32.363000,14,0 days 00:01:40.167000,14,,0 days 00:31:30.610000,0 days 00:00:30.956000,0 days 00:00:42.133000,0 days 00:00:27.078000,0 days 00:30:23.152000,0 days 00:31:05.285000,0 days 00:31:32.363000,235.0,257.0,,294.0,False,SOFT,13.0,True,1.0,0 days 00:29:52.196000,McLaren,ALO,1,False
0 days 00:33:28.602000,14,0 days 00:01:56.239000,15,0 days 00:31:55.599000,,0 days 00:00:51.713000,0 days 00:00:41.017000,0 days 00:00:23.509000,0 days 00:32:24.076000,0 days 00:33:05.093000,0 days 00:33:28.602000,238.0,259.0,277.0,222.0,False,MEDIUM,1.0,True,2.0,0 days 00:31:32.363000,McLaren,ALO,1,False
0 days 00:35:05.504000,14,0 days 00:01:36.902000,16,,,0 days 00:00:30.944000,0 days 00:00:41.793000,0 days 00:00:24.165000,0 days 00:33:59.546000,0 days 00:34:41.339000,0 days 00:35:05.504000,237.0,256.0,297.0,300.0,False,MEDIUM,2.0,True,2.0,0 days 00:33:28.602000,McLaren,ALO,1,True
0 days 00:36:42.276000,14,0 days 00:01:36.772000,17,,,0 days 00:00:30.766000,0 days 00:00:42.015000,0 days 00:00:23.991000,0 days 00:35:36.270000,0 days 00:36:18.285000,0 days 00:36:42.276000,,253.0,275.0,310.0,False,MEDIUM,3.0,True,2.0,0 days 00:35:05.504000,McLaren,ALO,1,True
0 days 00:38:19.222000,14,0 days 00:01:36.946000,18,,,0 days 00:00:30.965000,0 days 00:00:42.031000,0 days 00:00:23.950000,0 days 00:37:13.241000,0 days 00:37:55.272000,0 days 00:38:19.222000,233.0,250.0,274.0,288.0,False,MEDIUM,4.0,True,2.0,0 days 00:36:42.276000,McLaren,ALO,1,True
0 days 00:39:55.989000,14,0 days 00:01:36.767000,19,,,0 days 00:00:30.946000,0 days 00:00:41.909000,0 days 00:00:23.912000,0 days 00:38:50.168000,0 days 00:39:32.077000,0 days 00:39:55.989000,,250.0,275.0,287.0,False,MEDIUM,5.0,True,2.0,0 days 00:38:19.222000,McLaren,ALO,1,True
0 days 00:41:32.861000,14,0 days 00:01:36.872000,20,,,0 days 00:00:31.013000,0 days 00:00:41.909000,0 days 00:00:23.950000,0 days 00:40:27.002000,0 days 00:41:08.911000,0 days 00:41:32.861000,234.0,252.0,274.0,286.0,False,MEDIUM,6.0,True,2.0,0 days 00:39:55.989000,McLaren,ALO,1,True
0 days 00:43:09.632000,14,0 days 00:01:36.771000,21,,,0 days 00:00:31.093000,0 days 00:00:41.768000,0 days 00:00:23.910000,0 days 00:42:03.954000,0 days 00:42:45.722000,0 days 00:43:09.632000,236.0,250.0,274.0,281.0,False,MEDIUM,7.0,True,2.0,0 days 00:41:32.861000,McLaren,ALO,1,True
