Time,DistanceGap_LEC
0.0,0.0
0.2504201680672269,0.0
0.5008403361344538,-0.050073310737619586
0.7512605042016807,-0.27447536483822654
1.0016806722689076,-0.6562373369269454
1.2521008403361344,-0.4977183761213153
1.5025210084033613,-0.33723937167250106
1.7529411764705882,-0.0393399497637823
2.003361344537815,0.3504842687023455
2.253781512605042,0.7420607096290546
2.504201680672269,1.151640869091061
2.754621848739496,1.624819011241712
3.0050420168067227,2.184751980780348
3.2554621848739496,2.7694606640179416
3.5058823529411764,3.328788639613485
3.7563025210084033,3.8388282185625897
4.00672268907563,4.2885589037425405
4.257142857142857,4.754853023845499
4.507563025210084,5.265718180160263
4.757983193277311,5.776583336475042
5.008403361344538,6.288380989306148
5.258823529411765,6.876901761254345
5.509243697478992,7.343006235725682
5.7596638655462185,7.64454020309509
6.010084033613445,7.936927503186894
6.260504201680672,8.169565797931483
6.510924369747899,8.354521760327032
6.761344537815126,8.371967718989026
7.011764705882353,8.424749734949131
7.26218487394958,8.27028075857595
7.512605042016807,7.882821542332067
7.763025210084034,7.627941288047282
8.01344537815126,8.026065995491876
8.263865546218486,8.750872812943157
8.514285714285714,9.955012942822862
8.764705882352942,11.54039067644618
9.015126050420168,13.150057373321943
9.265546218487394,14.566119986574506
9.515966386554622,15.861690153195468
9.76638655462185,17.205034929942542
10.016806722689076,18.41376677250588
10.267226890756302,19.599253446532202
10.51764705882353,20.47441286586735
10.768067226890757,21.243260642343216
11.018487394957983,21.96431311737217
11.26890756302521,22.66115922530207
11.519327731092437,23.230145532615893
11.769747899159665,23.70678318621674
12.02016806722689,24.182291008082416
12.270588235294117,24.501292717562592
12.521008403361344,24.46397509452072
12.771428571428572,23.216551996715225
13.021848739495798,19.926444836245537
13.272268907563024,16.73047224688048
13.522689075630252,13.572598998870262
13.77310924369748,11.105966819235505
14.023529411764706,9.03943160707911
14.273949579831932,7.630475336076643
14.52436974789916,6.663151943829348
14.774789915966387,5.299829136683343
15.025210084033613,3.8024500588124965
15.27563025210084,2.2476784062032493
15.526050420168067,0.49041483263579266
15.776470588235295,-1.3063428424674157
16.02689075630252,-2.8403213779808993
16.277310924369747,-4.151265555631653
16.527731092436973,-5.020813009891981
16.778151260504202,-5.680956545068739
17.02857142857143,-5.725031525223699
17.278991596638654,-5.219518481237969
17.529411764705884,-4.397781562278283
17.77983193277311,-3.1426985873396234
18.030252100840336,-1.691103970073641
