Time,Distance_PER,Distance_SAI,Distance_NOR
0.0,0.0,0.0,0.0
0.2500089802076224,24.2507417463802,21.059828377714595,23.346948542058676
0.5000179604152448,46.58055633280449,42.60532065655775,45.401909126713925
0.7500269406228672,67.79412740046946,63.87969847869013,66.98080158751198
1.0000359208304896,87.08619486865432,84.98470583724605,88.3193325266935
1.250044901038112,104.49959505497822,105.67161490762135,109.40962433539312
1.5000538812457345,121.56631650935321,125.86169718956188,129.98872987635582
1.7500628614533569,138.18458335090338,145.41115441684684,149.34235445433148
2.0000718416609793,154.7758930252592,164.21170917919264,168.43941974409762
2.2500808218686017,171.87099404222178,182.50403083582057,187.2358625177973
2.500089802076224,188.85967715083044,200.43508293236914,205.11168634879235
2.7500987822838465,205.8483602594391,217.4525643764079,222.09956359887852
3.000107762491469,222.5446654467556,233.9868031550114,238.03691554704963
3.2501167426990913,238.947678838792,250.1357288352913,253.35445344596982
3.5001257229067138,254.8200744720511,264.6265319380972,267.9395430476817
3.750134703114336,269.3393666524103,278.6042812102099,281.8323272362539
4.000143683321959,283.0791776141243,291.8581930689538,295.42707653992255
4.250152663529581,295.96305413366997,304.14166970202257,308.4219489863534
4.500161643737203,307.9044351278911,316.10852832423666,320.2436630629194
4.750170623944825,319.4178489010279,327.48801962385073,331.8088211138045
5.000179604152448,330.44669905475513,338.4383714629665,342.92319247795297
5.250188584360071,341.1936336472647,349.08373475265614,353.4092707844185
5.500197564567693,351.64802759163234,359.3339746753825,363.01909733834833
5.750206544775315,361.69966509755915,369.41478327703817,372.3955548818025
6.000215524982938,371.2706182294462,378.98683134135956,381.159089566376
6.250224505190561,380.72073048411005,388.15824559547445,389.4803618225007
6.500233485398183,389.9373974851882,397.1943663370422,397.86551291357057
6.750242465605805,398.99802847644617,406.23048707861,406.21316774068754
7.0002514458134275,408.04478423741085,414.99496593185046,414.5043990570166
7.25026042602105,416.822270510192,423.4947130623738,422.68463280032563
7.500269406228672,425.59975678297315,432.1072656441806,430.9926647418333
7.750278386436294,434.4923533238977,441.0421901100621,439.5940665167916
8.000287366643917,443.65296804455414,450.41683516667507,448.33845431136336
8.25029634685154,453.0189281429817,460.2608902642891,456.88545787641925
8.500305327059163,462.7874209304316,470.0021059338728,465.12024541780625
8.750314307266784,472.67047805778503,479.3206054486146,472.88495427084683
9.000323287474407,483.78286436525906,488.5033854483498,480.35999545007746
9.25033226768203,495.4163199454238,498.0632085403758,487.8350366293082
9.50034124788965,508.15783227688024,508.3173270126378,495.5829528412468
9.750350228097274,521.0379109144807,519.30565463815,503.7631865845559
10.000359208304896,535.0385848953229,530.7998785430311,511.9735220601232
10.25036818851252,549.4789655376402,542.9421657895128,520.3756731553843
10.500377168720142,564.7563115532566,555.3900501603629,528.9250733011579
10.750386148927763,581.4618499433884,569.0310870884632,537.7127658768254
11.000395129135386,598.9171010345523,583.5550007252903,546.6284187639246
11.250404109343009,617.0383630170684,600.074158955969,556.0779991225749
11.50041308955063,636.0312856899612,616.8768522522116,565.8474802598043
11.750422069758253,656.4313801711062,635.20629373458,576.0022531825329
12.000431049965876,677.2493950362715,654.2668609238245,586.9998517707879
12.250440030173499,699.1914369912118,673.6928359827554,598.3924149345586
12.500449010381121,722.4966408710857,695.0124333573918,610.8117725154062
12.750457990588743,747.1739405426681,717.0805876481153,623.9283542072637
13.000466970796365,773.1905004126834,740.0944576617959,637.4819532552333
13.250475951003988,799.8824685682574,763.6859724048,652.0089200752477
13.50048493121161,828.0419414439905,788.770097525406,667.0627538491708
13.750493911419232,857.0642750878636,814.3942606896418,683.1684315540473
14.000502891626855,886.2366733170805,840.7184546269414,699.992072799545
14.250511871834478,916.1721596621038,867.6995086537725,717.5471675951885
14.5005208520421,945.524321611617,895.4796394312244,735.7411357484104
14.750529832249722,972.357731294042,921.5298310208541,754.7693608290524
15.000538812457345,998.6432903629434,945.5308095907593,774.5453034294247
15.250547792664968,1024.1263150258565,968.5636799632814,795.0885085085731
15.500556772872589,1049.936456537935,990.8716030440268,816.2184532546223
15.750565753080211,1075.4344358796989,1013.2419667252738,837.8408531380576
16.000574733287834,1098.9354475132743,1036.2574393196353,860.6451466197547
16.250583713495455,1121.386829389579,1060.3684123737376,883.714250426359
16.50059269370308,1142.0104980322435,1083.4072177313824,907.7158235922169
16.7506016739107,1161.9604147045884,1105.4425990443192,932.3943978309131
17.000610654118326,1180.2651129693309,1125.350302553086,957.5717068657219
17.250619634325947,1197.5366749007437,1144.1017428832977,983.1413439880072
17.500628614533568,1214.383785650114,1162.3967219838396,1009.1683144967791
17.750637594741193,1231.7804890852979,1181.5984785596713,1035.6876590863205
18.000646574948814,1249.4192302399117,1201.0046359841847,1062.523468991333
18.250655555156435,1267.4317395092341,1221.072677081519,1090.25988139393
18.50066453536406,1285.6945738509887,1241.545138136634,1118.2434321376284
18.75067351557168,1303.957408192743,1260.5868541084692,1146.0033814565802
19.0006824957793,1322.167759301388,1277.890903613583,1173.6160549358076
19.250691475986926,1339.6683060620733,1293.4217361381532,1200.6954493964172
19.500700456194547,1356.5036526365711,1308.5786553496444,1227.5111672102225
19.750709436402172,1372.6759492974747,1323.74844145828,1253.7664627585993
20.000718416609793,1388.2489088136992,1339.1792339995534,1278.7106162455316
20.250727396817414,1403.5891829293628,1355.0210929484088,1302.1485940023279
20.50073637702504,1418.3363833381563,1370.90689344239,1324.6245713264577
20.75074535723266,1432.573911049178,1386.5389628143087,1346.4855408128872
21.000754337440284,1446.6327552614134,1401.5250915540253,1367.8564068372827
